"","Race","Happy_level","Year"
"912","White","Pretty happy",1972
"913","White","Pretty happy",1972
"914","White","Very happy",1972
"915","White","Pretty happy",1972
"916","White","Pretty happy",1972
"917","White","Pretty happy",1972
"918","White","Pretty happy",1972
"919","White","Pretty happy",1972
"920","White","Very happy",1972
"921","White","Very happy",1972
"922","White","Not too happy",1972
"923","White","Not too happy",1972
"924","White","Very happy",1972
"925","White","Pretty happy",1972
"926","White","Pretty happy",1972
"927","White","Not too happy",1972
"928","White","Pretty happy",1972
"929","White","Pretty happy",1972
"930","White","Pretty happy",1972
"931","White","Not too happy",1972
"932","White","Pretty happy",1972
"933","White","Pretty happy",1972
"934","White","Very happy",1972
"935","White","Very happy",1972
"936","White","Pretty happy",1972
"937","White","Not too happy",1972
"938","White","Pretty happy",1972
"939","White","Very happy",1972
"940","White","Pretty happy",1972
"941","White","Pretty happy",1972
"942","White","Pretty happy",1972
"943","White","Not too happy",1972
"944","White","Pretty happy",1972
"945","White","Very happy",1972
"946","White","Pretty happy",1972
"947","White","Pretty happy",1972
"948","White","Pretty happy",1972
"949","White","Not too happy",1972
"950","White","Pretty happy",1972
"951","White","Pretty happy",1972
"952","White","Very happy",1972
"953","White","Very happy",1972
"954","White","Pretty happy",1972
"955","White","Pretty happy",1972
"956","White","Very happy",1972
"957","White","Not too happy",1972
"958","White","Very happy",1972
"959","White","Not too happy",1972
"960","White","Very happy",1972
"961","White","Very happy",1972
"962","White","Very happy",1972
"963","White","Pretty happy",1972
"964","White","Very happy",1972
"965","White","Pretty happy",1972
"966","White","Pretty happy",1972
"967","White","Very happy",1972
"968","White","Very happy",1972
