"id","educ","majorcol","rincome","race","sex"
733,14,NA,6,1,2
734,15,16,4,2,1
735,15,NA,12,2,2
736,14,NA,12,1,1
737,16,71,12,2,2
738,20,NA,NA,2,2
739,13,NA,NA,1,2
740,16,NA,12,1,2
741,12,NA,12,1,1
742,13,NA,12,1,2
743,12,NA,NA,1,1
744,13,NA,NA,1,2
745,6,NA,NA,3,2
746,15,NA,9,2,2
747,16,9,11,2,1
748,15,NA,11,2,2
749,18,14,12,1,1
750,16,NA,12,2,1
751,14,NA,9,2,2
752,14,NA,12,2,2
753,14,NA,10,2,2
754,18,NA,NA,1,1
755,10,NA,10,3,2
756,11,NA,NA,3,2
757,16,NA,12,1,2
758,14,8,12,2,1
759,12,NA,12,2,1
760,14,NA,10,1,2
761,11,NA,NA,1,2
762,13,NA,NA,1,2
763,14,NA,12,1,2
764,8,NA,9,1,1
765,12,NA,NA,2,2
766,12,NA,12,1,2
767,13,NA,NA,1,2
768,12,NA,1,1,2
769,12,NA,NA,1,2
770,15,NA,12,2,2
771,16,NA,12,1,1
772,13,NA,NA,2,1
773,13,NA,10,2,2
774,14,16,12,2,1
775,12,NA,10,2,1
776,13,NA,NA,1,2
777,12,NA,NA,2,2
778,16,9,6,2,2
779,12,NA,12,2,1
780,12,NA,NA,2,2
781,13,NA,NA,2,2
782,11,NA,12,1,1
783,13,NA,NA,1,1
784,17,NA,12,1,1
785,12,NA,12,2,2
786,14,42,9,2,2
787,12,NA,NA,2,2
788,13,NA,NA,2,2
789,12,NA,12,2,1
790,12,NA,12,2,2
791,18,36,NA,2,2
792,11,NA,NA,1,1
793,8,NA,5,1,2
794,14,NA,2,2,2
795,14,NA,NA,3,1
796,12,NA,12,2,2
797,12,NA,10,1,2
798,16,29,12,1,2
799,17,81,NA,1,2
800,16,19,NA,1,2
801,16,NA,NA,1,2
802,12,NA,NA,1,2
803,14,55,NA,2,1
804,12,NA,7,2,1
805,16,28,NA,2,1
806,12,NA,NA,1,1
807,16,43,12,1,1
808,12,NA,NA,1,1
809,19,55,12,1,1
810,16,NA,NA,1,2
811,12,NA,2,1,2
812,17,36,12,1,2
813,16,NA,NA,1,2
814,16,11,12,1,1
815,16,NA,NA,2,2
816,12,NA,12,2,1
817,16,49,NA,2,2
818,12,NA,NA,2,2
819,16,NA,NA,2,2
820,14,NA,12,2,1
821,14,NA,9,2,2
822,16,43,12,2,1
823,5,NA,NA,2,2
824,18,NA,12,2,2
825,16,8,12,1,2
826,13,NA,9,1,2
827,16,NA,12,1,2
828,11,NA,4,3,2
829,14,NA,12,2,2
830,12,NA,12,1,1
831,16,NA,12,1,2
832,20,NA,12,1,1
833,12,NA,NA,1,1
834,16,NA,NA,1,1
835,18,NA,NA,1,1
836,18,16,12,1,2
837,16,NA,NA,1,2
838,12,NA,12,1,1
839,14,NA,10,1,1
840,12,NA,12,1,1
841,18,NA,11,1,1
842,12,NA,6,1,2
843,12,NA,NA,1,1
844,12,NA,7,1,2
845,12,NA,NA,1,2
846,14,NA,NA,2,2
847,15,NA,12,2,2
848,12,NA,NA,2,1
849,16,NA,12,1,2
850,16,50,8,1,2
851,8,NA,NA,2,1
852,16,51,12,1,1
853,12,NA,NA,1,2
854,12,NA,1,1,2
855,12,NA,12,1,1
856,11,NA,NA,1,1
857,12,NA,NA,1,2
858,17,NA,NA,1,1
859,18,62,12,3,1
860,13,NA,NA,2,1
861,13,NA,NA,3,2
862,12,NA,NA,3,1
863,16,NA,12,3,2
864,16,32,5,3,2
865,14,30,NA,1,1
866,16,NA,12,1,2
867,15,NA,12,1,2
868,18,NA,12,1,1
869,13,NA,NA,1,2
870,16,NA,12,1,2
871,18,NA,NA,1,2
872,12,NA,NA,1,2
873,NA,NA,NA,2,1
874,9,NA,NA,1,1
875,13,NA,11,2,2
876,15,9,NA,1,2
877,13,NA,NA,1,2
878,19,NA,NA,1,1
879,17,16,NA,1,2
880,13,NA,12,3,1
881,17,1,10,1,1
882,16,NA,12,1,2
883,16,9,12,1,1
884,15,NA,12,1,2
885,16,80,NA,3,2
886,20,NA,NA,1,1
887,14,9,6,1,2
888,16,NA,NA,1,1
889,15,NA,12,1,1
890,14,NA,8,3,2
891,12,NA,11,1,1
892,12,NA,NA,1,2
893,15,NA,NA,1,2
894,20,NA,NA,2,2
895,16,9,NA,1,1
896,12,NA,NA,1,2
897,12,NA,NA,3,1
898,14,NA,NA,1,2
899,14,NA,10,1,1
900,18,NA,11,1,1
901,16,58,12,1,2
